q-max	action	timestep
1.763	LEFT	548
1.993	NOOP	564
1.720	LEFT	586
2.064	RIGHT	600
2.159	NOOP	948
2.656	FIRE	1065
2.075	NOOP	1122
2.138	NOOP	1125
2.194	LEFT	1520
1.967	NOOP	1573
2.558	NOOP	1698
2.791	FIRE	1726
2.281	NOOP	26
2.306	NOOP	141
1.946	NOOP	180
2.126	NOOP	311
2.365	LEFT	464
2.382	LEFT	568
1.731	LEFT	611
2.511	LEFT	738
2.672	LEFT	816
2.386	NOOP	894
1.961	NOOP	953
2.163	NOOP	1217
2.797	LEFT	1367
2.937	FIRE	1506
2.936	FIRE	1610
2.242	FIRE	1691
2.705	FIRE	1704
2.531	FIRE	1766
2.801	FIRE	1850
2.422	RIGHT	1974
2.862	FIRE	2072
2.216	NOOP	2101
3.069	RIGHT	2200
2.964	FIRE	2221
3.007	FIRE	2272
2.696	RIGHT	2394
2.362	FIRE	2501
2.907	FIRE	2572
3.626	FIRE	2671
2.213	LEFT	306
1.838	NOOP	468
1.860	NOOP	540
2.091	NOOP	705
2.689	LEFT	1225
2.725	LEFT	1226
1.969	RIGHT	1240
2.706	LEFT	1283
2.717	FIRE	1415
2.696	RIGHT	1595
2.150	NOOP	1627
2.612	NOOP	1725
2.193	NOOP	1797
3.034	FIRE	2088
2.781	NOOP	2147
3.263	LEFT	2271
2.745	NOOP	2374
9.638	LEFT	2439
8.275	RIGHT	2445
6.434	RIGHT	2467
6.278	RIGHT	2572
6.421	LEFT	2591
6.440	RIGHT	2662
2.444	FIRE	35
2.187	LEFT	126
2.013	NOOP	211
2.866	FIRE	273
2.036	NOOP	286
1.927	NOOP	402
2.485	LEFT	537
1.988	NOOP	559
1.998	LEFT	633
2.324	NOOP	1219
2.867	FIRE	1260
3.245	RIGHT	1354
2.785	NOOP	1365
3.353	FIRE	1373
2.706	FIRE	1382
3.053	NOOP	1459
3.347	FIRE	1473
3.375	FIRE	1538
3.478	FIRE	1641
2.635	LEFT	159
2.774	FIRE	208
1.740	NOOP	565
2.239	LEFT	586
1.879	LEFT	666
2.293	LEFT	676
2.659	RIGHT	692
1.988	NOOP	702
2.197	LEFT	708
2.133	NOOP	824
1.802	NOOP	939
1.802	NOOP	1014
2.206	NOOP	1124
2.545	LEFT	1143
1.636	NOOP	1154
2.622	FIRE	1282
2.661	LEFT	1361
3.043	FIRE	1446
3.154	FIRE	1563
3.191	NOOP	1595
2.916	FIRE	1788
2.523	FIRE	77
2.272	NOOP	181
2.338	NOOP	214
2.487	RIGHT	219
2.509	LEFT	250
2.276	LEFT	287
2.320	LEFT	291
1.934	RIGHT	542
2.382	LEFT	625
1.882	NOOP	842
1.939	NOOP	967
1.980	NOOP	973
2.727	FIRE	1019
1.936	NOOP	1040
1.895	NOOP	1276
2.799	LEFT	1338
2.869	FIRE	1685
3.060	FIRE	1945
3.329	FIRE	2005
2.658	FIRE	2035
3.087	FIRE	2146
3.146	FIRE	2163
2.372	LEFT	74
1.863	NOOP	282
1.618	NOOP	327
1.644	NOOP	395
1.709	NOOP	400
1.744	NOOP	468
2.640	LEFT	714
1.774	NOOP	718
2.109	NOOP	892
1.850	NOOP	935
2.103	NOOP	988
2.654	LEFT	1005
2.173	NOOP	1097
2.195	NOOP	1347
2.868	RIGHT	1533
2.438	RIGHT	1552
3.291	FIRE	1565
2.833	RIGHT	1602
10.827	LEFT	1607
4.911	RIGHT	1728
4.952	RIGHT	1795
5.077	NOOP	2013
4.762	NOOP	2034
4.754	RIGHT	2070
2.517	LEFT	45
2.861	FIRE	259
2.385	NOOP	275
1.835	NOOP	353
2.121	LEFT	444
2.247	LEFT	451
2.348	NOOP	640
2.511	LEFT	767
2.549	NOOP	820
2.835	FIRE	913
2.632	FIRE	936
1.803	NOOP	1028
2.327	NOOP	1072
1.909	RIGHT	1292
2.083	NOOP	1394
2.164	LEFT	1395
2.951	FIRE	1698
1.834	NOOP	1702
2.051	NOOP	1710
1.716	NOOP	1826
2.369	NOOP	1929
2.807	FIRE	1951
1.898	NOOP	1969
2.528	FIRE	1999
2.000	RIGHT	2016
2.550	NOOP	2034
3.033	FIRE	2268
3.040	RIGHT	2287
2.751	LEFT	2410
0.730	LEFT	2472
0.747	LEFT	2658
1.264	RIGHT	3039
1.264	RIGHT	3389
1.264	RIGHT	3659
1.264	RIGHT	3672
1.264	RIGHT	3793
1.264	RIGHT	3867
1.264	RIGHT	3924
1.264	RIGHT	3945
1.264	RIGHT	4077
2.452	FIRE	4123
2.001	RIGHT	20
2.670	FIRE	44
1.670	NOOP	103
2.186	NOOP	273
1.831	NOOP	349
1.722	NOOP	537
1.755	NOOP	582
2.600	LEFT	636
1.785	LEFT	708
2.299	NOOP	760
2.288	LEFT	972
2.155	FIRE	1060
2.316	NOOP	1102
2.304	NOOP	1352
2.452	LEFT	1432
2.600	FIRE	1570
3.062	FIRE	1652
2.731	FIRE	1681
3.068	FIRE	1717
1.154	FIRE	1756
2.755	LEFT	2023
2.060	RIGHT	172
1.785	NOOP	181
2.610	FIRE	219
2.419	LEFT	323
2.079	NOOP	493
2.021	RIGHT	503
2.465	LEFT	521
1.772	RIGHT	545
2.174	LEFT	575
2.552	LEFT	658
2.230	LEFT	706
2.058	NOOP	781
1.904	RIGHT	836
2.371	LEFT	1089
2.488	LEFT	1096
1.832	NOOP	1119
1.917	LEFT	1377
2.605	NOOP	1414
2.060	NOOP	1444
2.001	FIRE	1539
2.319	LEFT	1611
2.434	NOOP	1753
2.571	NOOP	1939
3.403	NOOP	2108
1.919	RIGHT	119
1.908	NOOP	158
2.507	FIRE	176
1.798	NOOP	191
2.427	LEFT	210
2.370	NOOP	274
2.087	RIGHT	743
2.112	LEFT	779
2.893	FIRE	889
2.454	NOOP	902
3.333	NOOP	934
3.498	FIRE	1013
3.320	FIRE	1464
1.871	RIGHT	1548
2.490	FIRE	1571
2.751	FIRE	1653
2.855	FIRE	1709
2.913	FIRE	1712
1.585	NOOP	346
